d_estado,d_ciudad,concatenadociudadestado
Ciudad de México,Ciudad de México,"Ciudad de México,Ciudad de México"
Guanajuato,Abasolo,"Abasolo,Guanajuato"
Chiapas,Acala,"Acala,Chiapas"
Guanajuato,Acámbaro,"Acámbaro,Guanajuato"
Nayarit,Acaponeta,"Acaponeta,Nayarit"
Guerrero,Acapulco de Juárez,"Acapulco de Juárez,Guerrero"
Jalisco,Acatlán de Juárez,"Acatlán de Juárez,Jalisco"
Puebla,Acatlán de Osorio,"Acatlán de Osorio,Puebla"
Veracruz de Ignacio de la Llave,Acayucan,"Acayucan,Veracruz de Ignacio de la Llave"
Hidalgo,Actopan,"Actopan,Hidalgo"
Veracruz de Ignacio de la Llave,Agua Dulce,"Agua Dulce,Veracruz de Ignacio de la Llave"
Sonora,Agua Prieta,"Agua Prieta,Sonora"
Aguascalientes,Aguascalientes,"Aguascalientes,Aguascalientes"
Sinaloa,Ahome,"Ahome,Sinaloa"
Nayarit,Ahuacatlán,"Ahuacatlán,Nayarit"
Jalisco,Ahualulco de Mercado,"Ahualulco de Mercado,Jalisco"
Jalisco,Ajijic,"Ajijic,Jalisco"
Veracruz de Ignacio de la Llave,Álamo,"Álamo,Veracruz de Ignacio de la Llave"
Coahuila de Zaragoza,Allende,"Allende,Coahuila de Zaragoza"
México,Almoloya de Juárez,"Almoloya de Juárez,México"
Tamaulipas,Altamira,"Altamira,Tamaulipas"
Veracruz de Ignacio de la Llave,Altotonga,"Altotonga,Veracruz de Ignacio de la Llave"
Veracruz de Ignacio de la Llave,Alvarado,"Alvarado,Veracruz de Ignacio de la Llave"
México,Amatepec,"Amatepec,México"
Jalisco,Ameca,"Ameca,Jalisco"
Puebla,Amozoc,"Amozoc,Puebla"
Nuevo León,Anáhuac,"Anáhuac,Nuevo León"
Veracruz de Ignacio de la Llave,Ángel R. Cabada,"Ángel R. Cabada,Veracruz de Ignacio de la Llave"
Sinaloa,Angostura,"Angostura,Sinaloa"
Hidalgo,Apan,"Apan,Hidalgo"
Guanajuato,Apaseo el Alto,"Apaseo el Alto,Guanajuato"
Guanajuato,Apaseo el Grande,"Apaseo el Grande,Guanajuato"
Michoacán de Ocampo,Apatzingán de la Constitución,"Apatzingán de la Constitución,Michoacán de Ocampo"
Tlaxcala,Apizaco,"Apizaco,Tlaxcala"
Jalisco,Arandas,"Arandas,Jalisco"
Guerrero,Arcelia,"Arcelia,Guerrero"
Chiapas,Arriaga,"Arriaga,Chiapas"
Coahuila de Zaragoza,Arteaga,"Arteaga,Coahuila de Zaragoza"
Aguascalientes,Asientos,"Asientos,Aguascalientes"
Oaxaca,Asunción Nochixtlán,"Asunción Nochixtlán,Oaxaca"
Puebla,Atlixco,"Atlixco,Puebla"
Jalisco,Atotonilco el Alto,"Atotonilco el Alto,Jalisco"
Veracruz de Ignacio de la Llave,Atoyac,"Atoyac,Veracruz de Ignacio de la Llave"
Guerrero,Atoyac de Álvarez,"Atoyac de Álvarez,Guerrero"
Jalisco,Autlán de Navarro,"Autlán de Navarro,Jalisco"
Guerrero,Ayutla de los Libres,"Ayutla de los Libres,Guerrero"
Guerrero,Azoyú,"Azoyú,Guerrero"
Quintana Roo,Bacalar,"Bacalar,Quintana Roo"
Chihuahua,Bachíniva,"Bachíniva,Chihuahua"
Oaxaca,Bahias de Huatulco,"Bahias de Huatulco,Oaxaca"
Veracruz de Ignacio de la Llave,Banderilla,"Banderilla,Veracruz de Ignacio de la Llave"
Veracruz de Ignacio de la Llave,Boca del Río,"Boca del Río,Veracruz de Ignacio de la Llave"
Nayarit,Bucerías,"Bucerías,Nayarit"
Guerrero,Buenavista de Cuéllar,"Buenavista de Cuéllar,Guerrero"
Baja California Sur,Cabo San Lucas,"Cabo San Lucas,Baja California Sur"
Chiapas,Cacahoatán,"Cacahoatán,Chiapas"
Nuevo León,Cadereyta Jiménez,"Cadereyta Jiménez,Nuevo León"
Campeche,Calkini,"Calkini,Campeche"
Tlaxcala,Calpulalpan,"Calpulalpan,Tlaxcala"
Aguascalientes,Calvillo,"Calvillo,Aguascalientes"
Durango,Canatlán,"Canatlán,Durango"
Quintana Roo,Cancún,"Cancún,Quintana Roo"
Campeche,Candelaria,"Candelaria,Campeche"
México,Capulhuac,"Capulhuac,México"
San Luis Potosí,Cárdenas,"Cárdenas,San Luis Potosí"
Tabasco,Cárdenas,"Cárdenas,Tabasco"
Veracruz de Ignacio de la Llave,Carlos A. Carrillo,"Carlos A. Carrillo,Veracruz de Ignacio de la Llave"
Coahuila de Zaragoza,Castaños,"Castaños,Coahuila de Zaragoza"
Veracruz de Ignacio de la Llave,Catemaco,"Catemaco,Veracruz de Ignacio de la Llave"
Veracruz de Ignacio de la Llave,Cazones de Herrera,"Cazones de Herrera,Veracruz de Ignacio de la Llave"
San Luis Potosí,Cedral,"Cedral,San Luis Potosí"
Guanajuato,Celaya,"Celaya,Guanajuato"
San Luis Potosí,Cerritos,"Cerritos,San Luis Potosí"
Veracruz de Ignacio de la Llave,Cerro Azul,"Cerro Azul,Veracruz de Ignacio de la Llave"
Oaxaca,Chahuites,"Chahuites,Oaxaca"
México,Chalco de Díaz Covarrubias,"Chalco de Díaz Covarrubias,México"
Campeche,Champotón,"Champotón,Campeche"
Jalisco,Chapala,"Chapala,Jalisco"
San Luis Potosí,Charcas,"Charcas,San Luis Potosí"
Quintana Roo,Chetumal,"Chetumal,Quintana Roo"
Chiapas,Chiapa de Corzo,"Chiapa de Corzo,Chiapas"
Tlaxcala,Chiautempan,"Chiautempan,Tlaxcala"
México,Chicoloapan de Juárez,"Chicoloapan de Juárez,México"
México,Chiconcuac,"Chiconcuac,México"
Chihuahua,Chihuahua,"Chihuahua,Chihuahua"
Guerrero,Chilapa de Álvarez,"Chilapa de Álvarez,Guerrero"
Guerrero,Chilpancingo de los Bravo,"Chilpancingo de los Bravo,Guerrero"
México,Chimalhuacán,"Chimalhuacán,México"
Sinaloa,Choix,"Choix,Sinaloa"
Nuevo León,Ciénega de Flores,"Ciénega de Flores,Nuevo León"
Jalisco,Cihuatlán,"Cihuatlán,Jalisco"
Chiapas,Cintalapa de Figueroa,"Cintalapa de Figueroa,Chiapas"
Coahuila de Zaragoza,Ciudad Acuña,"Ciudad Acuña,Coahuila de Zaragoza"
México,Ciudad Adolfo López Mateos,"Ciudad Adolfo López Mateos,México"
Guerrero,Ciudad Altamirano,"Ciudad Altamirano,Guerrero"
Guerrero,Ciudad Apaxtla de Castrejón,"Ciudad Apaxtla de Castrejón,Guerrero"
Nuevo León,Ciudad Apodaca,"Ciudad Apodaca,Nuevo León"
Nuevo León,Ciudad Benito Juárez,"Ciudad Benito Juárez,Nuevo León"
Tamaulipas,Ciudad Camargo,"Ciudad Camargo,Tamaulipas"
Baja California Sur,Ciudad Constitución,"Ciudad Constitución,Baja California Sur"
Zacatecas,Ciudad Cuauhtémoc,"Ciudad Cuauhtémoc,Zacatecas"
Colima,Ciudad de Armería,"Ciudad de Armería,Colima"
Colima,Ciudad de Villa de Álvarez,"Ciudad de Villa de Álvarez,Colima"
Campeche,Ciudad del Carmen,"Ciudad del Carmen,Campeche"
San Luis Potosí,Ciudad del Maíz,"Ciudad del Maíz,San Luis Potosí"
Nuevo León,Ciudad General Escobedo,"Ciudad General Escobedo,Nuevo León"
Tamaulipas,Ciudad Gustavo Díaz Ordaz,"Ciudad Gustavo Díaz Ordaz,Tamaulipas"
Jalisco,Ciudad Guzmán,"Ciudad Guzmán,Jalisco"
Michoacán de Ocampo,Ciudad Hidalgo,"Ciudad Hidalgo,Michoacán de Ocampo"
Oaxaca,Ciudad Ixtepec,"Ciudad Ixtepec,Oaxaca"
Michoacán de Ocampo,Ciudad Lázaro Cárdenas,"Ciudad Lázaro Cárdenas,Michoacán de Ocampo"
Durango,Ciudad Lerdo,"Ciudad Lerdo,Durango"
Tamaulipas,Ciudad Madero,"Ciudad Madero,Tamaulipas"
Tamaulipas,Ciudad Mante,"Ciudad Mante,Tamaulipas"
Guanajuato,Ciudad Manuel Doblado,"Ciudad Manuel Doblado,Guanajuato"
Coahuila de Zaragoza,Ciudad Melchor Múzquiz,"Ciudad Melchor Múzquiz,Coahuila de Zaragoza"
Tamaulipas,Ciudad Miguel Alemán,"Ciudad Miguel Alemán,Tamaulipas"
México,Ciudad Nezahualcóyotl,"Ciudad Nezahualcóyotl,México"
México,Ciudad Nicolás Romero,"Ciudad Nicolás Romero,México"
Sonora,Ciudad Obregón,"Ciudad Obregón,Sonora"
Tamaulipas,Ciudad Río Bravo,"Ciudad Río Bravo,Tamaulipas"
Nuevo León,Ciudad Sabinas Hidalgo,"Ciudad Sabinas Hidalgo,Nuevo León"
Nuevo León,Ciudad Santa Catarina,"Ciudad Santa Catarina,Nuevo León"
Puebla,Ciudad Serdán,"Ciudad Serdán,Puebla"
Tamaulipas,Ciudad Tula,"Ciudad Tula,Tamaulipas"
San Luis Potosí,Ciudad Valles,"Ciudad Valles,San Luis Potosí"
Tamaulipas,Ciudad Victoria,"Ciudad Victoria,Tamaulipas"
México,Coacalco de Berriozabal,"Coacalco de Berriozabal,México"
Veracruz de Ignacio de la Llave,Coatepec,"Coatepec,Veracruz de Ignacio de la Llave"
Veracruz de Ignacio de la Llave,Coatzacoalcos,"Coatzacoalcos,Veracruz de Ignacio de la Llave"
Veracruz de Ignacio de la Llave,Coatzintla,"Coatzintla,Veracruz de Ignacio de la Llave"
Jalisco,Cocula,"Cocula,Jalisco"
Colima,Colima,"Colima,Colima"
Chihuahua,Colonia Anáhuac,"Colonia Anáhuac,Chihuahua"
Jalisco,Colotlán,"Colotlán,Jalisco"
Tabasco,Comalcalco,"Comalcalco,Tabasco"
Chiapas,Comitán de Domínguez,"Comitán de Domínguez,Chiapas"
Guanajuato,Comonfort,"Comonfort,Guanajuato"
Nayarit,Compostela,"Compostela,Nayarit"
Guerrero,Copala,"Copala,Guerrero"
Veracruz de Ignacio de la Llave,Córdoba,"Córdoba,Veracruz de Ignacio de la Llave"
Guanajuato,Cortazar,"Cortazar,Guanajuato"
Sinaloa,Cosalá,"Cosalá,Sinaloa"
Veracruz de Ignacio de la Llave,Cosamaloapan,"Cosamaloapan,Veracruz de Ignacio de la Llave"
Aguascalientes,Cosío,"Cosío,Aguascalientes"
Oaxaca,Cosolapa,"Cosolapa,Oaxaca"
Veracruz de Ignacio de la Llave,Cosoleacaque,"Cosoleacaque,Veracruz de Ignacio de la Llave"
Michoacán de Ocampo,Cotija de la Paz,"Cotija de la Paz,Michoacán de Ocampo"
Guerrero,Coyuca de Benítez,"Coyuca de Benítez,Guerrero"
Guerrero,Coyuca de Catalán,"Coyuca de Catalán,Guerrero"
Quintana Roo,Cozumel,"Cozumel,Quintana Roo"
Guerrero,Cruz Grande,"Cruz Grande,Guerrero"
Guerrero,Cuajinicuilapa,"Cuajinicuilapa,Guerrero"
Coahuila de Zaragoza,Cuatro Ciénegas de Carranza,"Cuatro Ciénegas de Carranza,Coahuila de Zaragoza"
Chihuahua,Cuauhtémoc,"Cuauhtémoc,Chihuahua"
México,Cuautitlán,"Cuautitlán,México"
México,Cuautitlán Izcalli,"Cuautitlán Izcalli,México"
Morelos,Cuautla,"Cuautla,Morelos"
Puebla,Cuautlancingo,"Cuautlancingo,Puebla"
Guanajuato,Cuerámaro,"Cuerámaro,Guanajuato"
Morelos,Cuernavaca,"Cuernavaca,Morelos"
Veracruz de Ignacio de la Llave,Cuichapa,"Cuichapa,Veracruz de Ignacio de la Llave"
Oaxaca,Cuilápam de Guerrero,"Cuilápam de Guerrero,Oaxaca"
Veracruz de Ignacio de la Llave,Cuitláhuac,"Cuitláhuac,Veracruz de Ignacio de la Llave"
Michoacán de Ocampo,Cuitzeo del Porvenir,"Cuitzeo del Porvenir,Michoacán de Ocampo"
Sinaloa,Culiacán Rosales,"Culiacán Rosales,Sinaloa"
Tabasco,Cunduacán,"Cunduacán,Tabasco"
Guerrero,Cutzamala de Pinzón,"Cutzamala de Pinzón,Guerrero"
Chihuahua,Delicias,"Delicias,Chihuahua"
Nuevo León,Doctor Arroyo,"Doctor Arroyo,Nuevo León"
Guanajuato,Doctor Mora,"Doctor Mora,Guanajuato"
Guanajuato,Dolores Hidalgo Cuna de la Independencia Nacional,"Dolores Hidalgo Cuna de la Independencia Nacional,Guanajuato"
San Luis Potosí,Ébano,"Ébano,San Luis Potosí"
México,Ecatepec de Morelos,"Ecatepec de Morelos,México"
Oaxaca,El Camarón,"El Camarón,Oaxaca"
Nuevo León,El cercado,"El cercado,Nuevo León"
Jalisco,El Grullo,"El Grullo,Jalisco"
Veracruz de Ignacio de la Llave,El Higo,"El Higo,Veracruz de Ignacio de la Llave"
San Luis Potosí,El Naranjo,"El Naranjo,San Luis Potosí"
Querétaro,El Pueblito,"El Pueblito,Querétaro"
Jalisco,El Quince (San José el Quince),"El Quince (San José el Quince),Jalisco"
Oaxaca,El Rosario,"El Rosario,Oaxaca"
Sinaloa,El Rosario,"El Rosario,Sinaloa"
Durango,El Salto,"El Salto,Durango"
Jalisco,El Salto,"El Salto,Jalisco"
Tabasco,Emiliano Zapata,"Emiliano Zapata,Tabasco"
Sonora,Empalme,"Empalme,Sonora"
Guanajuato,Empalme Escobedo,"Empalme Escobedo,Guanajuato"
Baja California,Ensenada,"Ensenada,Baja California"
Campeche,Escárcega,"Escárcega,Campeche"
Sinaloa,Escuinapa de Hidalgo,"Escuinapa de Hidalgo,Sinaloa"
Tamaulipas,Estación Manuel (Úrsulo Galván),"Estación Manuel (Úrsulo Galván),Tamaulipas"
Sinaloa,Estación Naranjo,"Estación Naranjo,Sinaloa"
Jalisco,Etzatlán,"Etzatlán,Jalisco"
Quintana Roo,Felipe Carrillo Puerto,"Felipe Carrillo Puerto,Quintana Roo"
Veracruz de Ignacio de la Llave,Fortín de las Flores,"Fortín de las Flores,Veracruz de Ignacio de la Llave"
San Luis Potosí,Fracción el Refugio,"Fracción el Refugio,San Luis Potosí"
Durango,Francisco I. Madero,"Francisco I. Madero,Durango"
Coahuila de Zaragoza,Francisco I. Madero (Chávez),"Francisco I. Madero (Chávez),Coahuila de Zaragoza"
Nayarit,Francisco I. Madero (Puga),"Francisco I. Madero (Puga),Nayarit"
Hidalgo,Fray Bernardino de Sahagún (Ciudad Sahagún),"Fray Bernardino de Sahagún (Ciudad Sahagún),Hidalgo"
Zacatecas,Fresnillo,"Fresnillo,Zacatecas"
Coahuila de Zaragoza,Frontera,"Frontera,Coahuila de Zaragoza"
Tabasco,Frontera,"Frontera,Tabasco"
Morelos,Galeana,"Galeana,Morelos"
Nuevo León,García,"García,Nuevo León"
Veracruz de Ignacio de la Llave,General Miguel Alemán (Potrero Nuevo),"General Miguel Alemán (Potrero Nuevo),Veracruz de Ignacio de la Llave"
Durango,Gómez Palacio,"Gómez Palacio,Durango"
Tamaulipas,González,"González,Tamaulipas"
Jalisco,Guadalajara,"Guadalajara,Jalisco"
Nuevo León,Guadalupe,"Guadalupe,Nuevo León"
Zacatecas,Guadalupe,"Guadalupe,Zacatecas"
Sinaloa,Guamúchil,"Guamúchil,Sinaloa"
Guanajuato,Guanajuato,"Guanajuato,Guanajuato"
Sinaloa,Guasave,"Guasave,Sinaloa"
Baja California Sur,Guerrero Negro,"Guerrero Negro,Baja California Sur"
Veracruz de Ignacio de la Llave,Gutiérrez Zamora,"Gutiérrez Zamora,Veracruz de Ignacio de la Llave"
Campeche,Hecelchakán,"Hecelchakán,Campeche"
Sonora,Hermosillo,"Hermosillo,Sonora"
Sonora,Heroica Caborca,"Heroica Caborca,Sonora"
Sonora,Heroica Ciudad de Cananea,"Heroica Ciudad de Cananea,Sonora"
Oaxaca,Heroica Ciudad de Ejutla de Crespo,"Heroica Ciudad de Ejutla de Crespo,Oaxaca"
Oaxaca,Heroica Ciudad de Huajuapan de León,"Heroica Ciudad de Huajuapan de León,Oaxaca"
Oaxaca,Heroica Ciudad de Tlaxiaco,"Heroica Ciudad de Tlaxiaco,Oaxaca"
Sonora,Heroica Guaymas,"Heroica Guaymas,Sonora"
Tamaulipas,Heroica Matamoros,"Heroica Matamoros,Tamaulipas"
Baja California Sur,Heroica Mulegé,"Heroica Mulegé,Baja California Sur"
Sonora,Heroica Nogales,"Heroica Nogales,Sonora"
Puebla,Heroica Puebla de Zaragoza,"Heroica Puebla de Zaragoza,Puebla"
Michoacán de Ocampo,Heróica Zitácuaro,"Heróica Zitácuaro,Michoacán de Ocampo"
Chihuahua,Hidalgo del Parral,"Hidalgo del Parral,Chihuahua"
Sinaloa,Higuera de Zaragoza,"Higuera de Zaragoza,Sinaloa"
Campeche,Hopelchén,"Hopelchén,Campeche"
Nuevo León,Hualahuises,"Hualahuises,Nuevo León"
Tlaxcala,Huamantla,"Huamantla,Tlaxcala"
Guerrero,Huamuxtitlán,"Huamuxtitlán,Guerrero"
Guanajuato,Huanímaro,"Huanímaro,Guanajuato"
Sonora,Huatabampo,"Huatabampo,Sonora"
Veracruz de Ignacio de la Llave,Huatusco de Chicuellar,"Huatusco de Chicuellar,Veracruz de Ignacio de la Llave"
Puebla,Huauchinango,"Huauchinango,Puebla"
Veracruz de Ignacio de la Llave,Huayacocotla,"Huayacocotla,Veracruz de Ignacio de la Llave"
Jalisco,Huejuquilla el Alto,"Huejuquilla el Alto,Jalisco"
Hidalgo,Huejutla de Reyes,"Huejutla de Reyes,Hidalgo"
Michoacán de Ocampo,Huetamo de Núñez,"Huetamo de Núñez,Michoacán de Ocampo"
Veracruz de Ignacio de la Llave,Huiloapan de Cuauhtémoc,"Huiloapan de Cuauhtémoc,Veracruz de Ignacio de la Llave"
Tabasco,Huimanguillo,"Huimanguillo,Tabasco"
Guerrero,Huitzuco,"Huitzuco,Guerrero"
México,Huixquilucan de Degollado,"Huixquilucan de Degollado,México"
Chiapas,Huixtla,"Huixtla,Chiapas"
Guerrero,Iguala de la Independencia,"Iguala de la Independencia,Guerrero"
Guanajuato,Irapuato,"Irapuato,Guanajuato"
Veracruz de Ignacio de la Llave,Isla,"Isla,Veracruz de Ignacio de la Llave"
Quintana Roo,Isla Mujeres,"Isla Mujeres,Quintana Roo"
Hidalgo,Ixmiquilpan,"Ixmiquilpan,Hidalgo"
Veracruz de Ignacio de la Llave,Ixtaczoquitlán,"Ixtaczoquitlán,Veracruz de Ignacio de la Llave"
México,Ixtapaluca,"Ixtapaluca,México"
Nayarit,Ixtlán del Río,"Ixtlán del Río,Nayarit"
Puebla,Izúcar de Matamoros,"Izúcar de Matamoros,Puebla"
Michoacán de Ocampo,Jacona de Plancarte,"Jacona de Plancarte,Michoacán de Ocampo"
Nayarit,Jala,"Jala,Nayarit"
Jalisco,Jalostotitlán,"Jalostotitlán,Jalisco"
Zacatecas,Jalpa,"Jalpa,Zacatecas"
Tabasco,Jalpa de Méndez,"Jalpa de Méndez,Tabasco"
Veracruz de Ignacio de la Llave,Jáltipan de Morelos,"Jáltipan de Morelos,Veracruz de Ignacio de la Llave"
Jalisco,Jamay,"Jamay,Jalisco"
Guanajuato,Jaral del Progreso,"Jaral del Progreso,Guanajuato"
Tamaulipas,Jaumave,"Jaumave,Tamaulipas"
Guanajuato,Jerécuaro,"Jerécuaro,Guanajuato"
Zacatecas,Jerez de García Salinas,"Jerez de García Salinas,Zacatecas"
Aguascalientes,Jesús María ,"Jesús María ,Aguascalientes"
Michoacán de Ocampo,Jiquilpan de Juárez,"Jiquilpan de Juárez,Michoacán de Ocampo"
Chiapas,Jiquipilas,"Jiquipilas,Chiapas"
Morelos,Jiutepec,"Jiutepec,Morelos"
Jalisco,Jocotepec,"Jocotepec,Jalisco"
Morelos,Jojutla,"Jojutla,Morelos"
Veracruz de Ignacio de la Llave,José Cardel,"José Cardel,Veracruz de Ignacio de la Llave"
Chihuahua,José Mariano Jiménez,"José Mariano Jiménez,Chihuahua"
Chihuahua,Juan Aldama,"Juan Aldama,Chihuahua"
Zacatecas,Juan Aldama,"Juan Aldama,Zacatecas"
Veracruz de Ignacio de la Llave,Juan Díaz Covarrubias,"Juan Díaz Covarrubias,Veracruz de Ignacio de la Llave"
Veracruz de Ignacio de la Llave,Juan Rodríguez Clara,"Juan Rodríguez Clara,Veracruz de Ignacio de la Llave"
Chihuahua,Juárez,"Juárez,Chihuahua"
Oaxaca,Juchitán (Juchitán de Zaragoza),"Juchitán (Juchitán de Zaragoza),Oaxaca"
México,Juchitepec de Mariano Rivapalacio,"Juchitepec de Mariano Rivapalacio,México"
Yucatán,Kanasín,"Kanasín,Yucatán"
Quintana Roo,Kantunilkín,"Kantunilkín,Quintana Roo"
Jalisco,La Barca,"La Barca,Jalisco"
Sinaloa,La Cruz,"La Cruz,Sinaloa"
Baja California Sur,La Paz,"La Paz,Baja California Sur"
Nayarit,La Peñita de Jaltemba,"La Peñita de Jaltemba,Nayarit"
Michoacán de Ocampo,La Piedad de Cabadas,"La Piedad de Cabadas,Michoacán de Ocampo"
Jalisco,La Resolana,"La Resolana,Jalisco"
Guerrero,La Unión,"La Unión,Guerrero"
Jalisco,Lagos de Moreno,"Lagos de Moreno,Jalisco"
Oaxaca,Lagunas,"Lagunas,Oaxaca"
Veracruz de Ignacio de la Llave,Las Choapas,"Las Choapas,Veracruz de Ignacio de la Llave"
Michoacán de Ocampo,Las Guacamayas,"Las Guacamayas,Michoacán de Ocampo"
Chiapas,Las Margaritas,"Las Margaritas,Chiapas"
Jalisco,Las Pintitas,"Las Pintitas,Jalisco"
Chiapas,Las Rosas,"Las Rosas,Chiapas"
Nayarit,Las Varas,"Las Varas,Nayarit"
Guanajuato,León de los Aldama,"León de los Aldama,Guanajuato"
Veracruz de Ignacio de la Llave,Lerdo de Tejada,"Lerdo de Tejada,Veracruz de Ignacio de la Llave"
Sinaloa,Licenciado Benito Juárez (Campo Gobierno),"Licenciado Benito Juárez (Campo Gobierno),Sinaloa"
Nuevo León,Linares,"Linares,Nuevo León"
Oaxaca,Loma Bonita,"Loma Bonita,Oaxaca"
Baja California Sur,Loreto,"Loreto,Baja California Sur"
Zacatecas,Loreto,"Loreto,Zacatecas"
Sinaloa,Los Mochis,"Los Mochis,Sinaloa"
México,Los Reyes Acaquilpan (La Paz),"Los Reyes Acaquilpan (La Paz),México"
Michoacán de Ocampo,Los Reyes de Salgado,"Los Reyes de Salgado,Michoacán de Ocampo"
Zacatecas,Luis Moya,"Luis Moya,Zacatecas"
Tabasco,Macuspana,"Macuspana,Tabasco"
Chihuahua,Madera,"Madera,Chihuahua"
Jalisco,Magdalena,"Magdalena,Jalisco"
Sonora,Magdalena de Kino,"Magdalena de Kino,Sonora"
Chihuahua,Manuel Ojinaga,"Manuel Ojinaga,Chihuahua"
Colima,Manzanillo,"Manzanillo,Colima"
Chiapas,Mapastepec,"Mapastepec,Chiapas"
Michoacán de Ocampo,Maravatío de Ocampo,"Maravatío de Ocampo,Michoacán de Ocampo"
Guanajuato,Marfil,"Marfil,Guanajuato"
Oaxaca,Mariscala de Juárez,"Mariscala de Juárez,Oaxaca"
Guerrero,Marquelia,"Marquelia,Guerrero"
Veracruz de Ignacio de la Llave,Martínez de la Torre,"Martínez de la Torre,Veracruz de Ignacio de la Llave"
Coahuila de Zaragoza,Matamoros,"Matamoros,Coahuila de Zaragoza"
San Luis Potosí,Matehuala,"Matehuala,San Luis Potosí"
Oaxaca,Matías Romero Avendaño,"Matías Romero Avendaño,Oaxaca"
Sinaloa,Mazatlán,"Mazatlán,Sinaloa"
México,Melchor Ocampo,"Melchor Ocampo,México"
Yucatán,Mérida,"Mérida,Yucatán"
México,Metepec,"Metepec,México"
Baja California,Mexicali,"Mexicali,Baja California"
Oaxaca,Miahuatlán de Porfirio Díaz,"Miahuatlán de Porfirio Díaz,Oaxaca"
